timestamp,service_name,pid,cpu_percent,memory_mb
1769627261.8165631,unknown,2476,0.0,37.0
1769627262.7991917,ratings,8884,0.0,3.10546875
1769627263.2389479,unknown,15600,0.0,3.1796875
1769627263.536728,unknown,19468,0.0,3.25390625
1769627263.6430848,ratings,22284,0.0,23.25390625
1769627263.7605507,recommender,22956,0.0,37.0078125
1769627263.8962617,recommender,26152,0.0,3.10546875
1769627263.9977813,monitoring,26552,0.0,3.5
1769627264.1392787,monitoring,27792,0.0,66.78125
1769627264.248804,unknown,28912,0.0,53.703125
1769627264.9728842,unknown,2476,0.0,37.0
1769627265.076105,ratings,8884,0.0,3.10546875
1769627265.1792526,unknown,15600,0.0,3.1796875
1769627265.2951849,unknown,19468,0.0,3.25390625
1769627265.4136057,ratings,22284,0.0,23.25390625
1769627265.5217974,recommender,22956,0.0,37.0078125
1769627265.6236396,recommender,26152,0.0,3.10546875
1769627265.7252,monitoring,26552,0.0,3.5
1769627265.866382,monitoring,27792,0.0,67.875
1769627265.9847865,unknown,28912,14.2,53.703125
1769627266.6005058,unknown,2476,0.0,37.0
1769627266.7064452,ratings,8884,0.0,3.10546875
1769627266.8097293,unknown,15600,0.0,3.1796875
1769627266.9117005,unknown,19468,0.0,3.25390625
1769627267.0148633,ratings,22284,0.0,23.25390625
1769627267.1174426,recommender,22956,0.0,37.0078125
1769627267.2189622,recommender,26152,0.0,3.10546875
1769627267.3199115,monitoring,26552,0.0,3.5
1769627267.4224088,monitoring,27792,0.0,68.83984375
1769627267.5248315,unknown,28912,0.0,53.703125
1769627268.140197,unknown,2476,0.0,37.0
1769627268.2441561,ratings,8884,0.0,3.10546875
1769627268.3474984,unknown,15600,0.0,3.1796875
1769627268.4490638,unknown,19468,0.0,3.25390625
1769627268.553729,ratings,22284,0.0,23.25390625
1769627268.6597476,recommender,22956,0.0,37.0078125
1769627268.761337,recommender,26152,0.0,3.10546875
1769627268.8630433,monitoring,26552,0.0,3.5
1769627268.968403,monitoring,27792,0.0,68.8125
1769627269.0722587,unknown,28912,0.0,53.703125
1769627269.6907487,unknown,2476,0.0,37.0
1769627269.7925403,ratings,8884,0.0,3.10546875
1769627269.894453,unknown,15600,0.0,3.1796875
1769627269.9954195,unknown,19468,0.0,3.25390625
1769627270.0985768,ratings,22284,0.0,23.25390625
1769627270.2028828,recommender,22956,0.0,37.0078125
1769627270.3048975,recommender,26152,0.0,3.10546875
1769627270.4061797,monitoring,26552,0.0,3.5
1769627270.5115657,monitoring,27792,0.0,67.87890625
1769627270.616964,unknown,28912,14.3,53.703125
1769627271.27495,unknown,2476,0.0,37.0
1769627271.3781984,ratings,8884,0.0,3.10546875
1769627271.4807184,unknown,15600,0.0,3.1796875
1769627271.5825455,unknown,19468,0.0,3.25390625
1769627271.6895516,ratings,22284,0.0,23.25390625
1769627271.7936025,recommender,22956,0.0,37.0078125
1769627271.895009,recommender,26152,0.0,3.10546875
1769627271.9962163,monitoring,26552,0.0,3.5
1769627272.103022,monitoring,27792,0.0,68.84765625
1769627272.2117443,unknown,28912,0.0,53.703125
1769627272.3129225,workload,33496,0.0,3.51953125
1769627272.4201772,workload,33548,0.0,69.1953125
1769627273.0418122,unknown,2476,0.0,37.0
1769627273.1453743,ratings,8884,0.0,3.10546875
1769627273.2480092,unknown,15600,0.0,3.1796875
1769627273.3508916,unknown,19468,0.0,3.25390625
1769627273.45617,ratings,22284,0.0,31.8125
1769627273.5631666,recommender,22956,0.0,37.0078125
1769627273.6654418,recommender,26152,0.0,3.10546875
1769627273.766487,monitoring,26552,0.0,3.5
1769627273.871575,monitoring,27792,0.0,67.88671875
1769627273.9755356,unknown,28912,0.0,53.703125
1769627274.076843,workload,33496,0.0,3.51953125
1769627274.1806896,workload,33548,0.0,69.1953125
1769627274.7994967,unknown,2476,0.0,37.0
1769627274.9018111,ratings,8884,0.0,3.10546875
1769627275.0043905,unknown,15600,0.0,3.1796875
1769627275.106709,unknown,19468,0.0,3.25390625
1769627275.2105596,ratings,22284,0.0,31.8203125
1769627275.3133216,recommender,22956,0.0,37.0078125
1769627275.414723,recommender,26152,0.0,3.10546875
1769627275.5154517,monitoring,26552,0.0,3.5
1769627275.6182883,monitoring,27792,0.0,68.8515625
1769627275.721737,unknown,28912,0.0,53.703125
1769627275.8229861,workload,33496,0.0,3.51953125
1769627275.9265866,workload,33548,0.0,69.1953125
1769627276.541981,unknown,2476,0.0,37.0
1769627276.6449578,ratings,8884,0.0,3.10546875
1769627276.7463927,unknown,15600,0.0,3.1796875
1769627276.8478389,unknown,19468,0.0,3.25390625
1769627276.9542615,ratings,22284,16.6,37.17578125
1769627277.0571537,recommender,22956,0.0,37.0078125
1769627277.157959,recommender,26152,0.0,3.10546875
1769627277.2595232,monitoring,26552,0.0,3.5
1769627277.3636255,monitoring,27792,0.0,67.890625
1769627277.468007,unknown,28912,0.0,53.703125
1769627277.5691946,workload,33496,0.0,3.51953125
1769627277.6756065,workload,33548,0.0,69.2421875
1769627278.295558,unknown,2476,0.0,37.0
1769627278.3971927,ratings,8884,0.0,3.10546875
1769627278.5000987,unknown,15600,0.0,3.1796875
1769627278.6013741,unknown,19468,0.0,3.25390625
1769627278.7050207,ratings,22284,0.0,37.53125
1769627278.8126187,recommender,22956,0.0,37.0078125
1769627278.9134085,recommender,26152,0.0,3.10546875
1769627279.0143063,monitoring,26552,0.0,3.5
1769627279.1162558,monitoring,27792,0.0,68.85546875
1769627279.2199612,unknown,28912,0.0,53.703125
1769627279.3208666,workload,33496,0.0,3.51953125
1769627279.4243057,workload,33548,0.0,69.2421875
1769627280.039821,unknown,2476,0.0,37.0
1769627280.1422462,ratings,8884,0.0,3.10546875
1769627280.244327,unknown,15600,0.0,3.1796875
1769627280.3468513,unknown,19468,0.0,3.25390625
1769627280.449833,ratings,22284,0.0,37.54296875
1769627280.5545528,recommender,22956,0.0,37.0078125
1769627280.656762,recommender,26152,0.0,3.10546875
1769627280.7578049,monitoring,26552,0.0,3.5
1769627280.861502,monitoring,27792,0.0,67.89453125
1769627280.9649475,unknown,28912,0.0,53.703125
1769627281.0657284,workload,33496,0.0,3.51953125
1769627281.1688511,workload,33548,0.0,69.2421875
1769627281.7907445,unknown,2476,0.0,37.0
1769627281.89316,ratings,8884,0.0,3.10546875
