movie_id,title
1,"The Shawshank Redemption"
2,"The Godfather"
3,"The Dark Knight"
4,"The Godfather Part II"
5,"12 Angry Men"
6,"Schindler's List"
7,"The Lord of the Rings: The Return of the King"
8,"Pulp Fiction"
9,"The Lord of the Rings: The Fellowship of the Ring"
10,"The Good, the Bad and the Ugly"
11,"Forrest Gump"
12,"Inception"
13,"The Lord of the Rings: The Two Towers"
14,"Star Wars: Episode V - The Empire Strikes Back"
15,"The Matrix"
16,"Goodfellas"
17,"One Flew Over the Cuckoo's Nest"
18,"Seven Samurai"
19,"Se7en"
20,"Interstellar"
